COUNTRY OF NATIONALITY,2016 Alone,2016 With Spouse,2016 With Children,2016 With Family/Relatives,2016 Student Group,2016 With Friends,2016 With Business Associate,2016 With Incentive Group,2016 Others,2017 Alone,2017 With Spouse,2017 With Children,2017 With Family/Relatives,2017 Student Group,2017 With Friends,2017 With Business Associate,2017 With Incentive Group,2017 Others,2018 Alone,2018 With Spouse,2018 With Children,2018 With Family/Relatives,2018 Student Group,2018 With Friends,2018 With Business Associate,2018 With Incentive Group,2018 Others
SINGAPORE,18.6,35.5,3.9,23.7,0.1,14.7,2.2,0.4,0.8,20.6,39.4,5.9,22.9,0.2,9.3,1.1,0.1,0.5,16.9,34.6,5.0,25.3,0.7,14.4,0.6,2.5,0.1
THAILAND,30.1,16.7,0.9,12.0,3.1,30.2,4.8,1.0,1.2,23.2,17.8,4.2,11.8,4.4,29.3,4.8,2.7,1.8,20.6,6.7,7.2,33.5,1.2,29.8,0.4,0.4,0.2
INDONESIA,12.9,24.6,3.8,37.9,0.9,14.9,2.1,1.6,1.2,10.4,28.0,3.9,34.9,0.9,15.5,2.7,2.3,1.4,11.3,31.1,4.0,34.4,1.1,14.7,0.7,2.3,0.5
BRUNEI,10.2,24.9,2.2,44.5,0.0,16.2,1.1,0.1,0.7,6.8,21.2,2.2,54.5,0.1,14.2,0.8,0.0,0.0,17.5,28.1,2.0,40.0,0.1,11.6,0.4,0.1,0.1
PHILIPPINES,13.9,27.5,1.5,15.0,5.5,34.1,1.1,0.0,1.5,3.5,7.6,0.2,40.0,0.2,46.4,1.9,0.1,0.2,5.5,20.6,0.7,29.5,0.5,39.2,1.6,1.6,0.7
VIETNAM,5.8,11.5,0.6,31.0,0.6,35.5,2.7,7.4,5.0,2.8,11.5,0.7,37.0,0.2,32.5,1.1,8.2,5.8,0.9,12.3,2.8,44.2,0.0,30.2,0.6,6.1,3.0
CHINA,4.2,30.9,0.7,37.8,0.5,18.4,1.3,2.4,3.7,1.9,30.4,0.7,42.0,0.2,20.4,0.5,1.7,2.2,1.9,23.9,0.7,39.3,0.8,22.1,1.1,9.7,0.4
JAPAN,10.9,26.5,0.6,16.4,0.8,18.4,25.6,0.3,0.6,8.4,30.3,0.0,20.0,5.7,25.4,8.5,0.8,0.8,4.2,22.7,0.2,26.3,1.9,25.3,17.4,1.3,0.5
SOUTH KOREA,9.4,36.3,0.6,16.3,0.0,28.1,8.1,0.0,1.3,4.6,36.8,1.3,33.2,2.5,19.5,1.6,0.0,0.6,1.6,29.1,0.1,33.5,0.0,28.7,1.0,5.9,0.1
TAIWAN,7.8,55.7,1.2,24.6,0.0,9.3,0.3,0.6,0.6,1.5,55.7,0.2,36.3,0.0,5.2,0.2,0.3,0.7,0.3,28.1,0.0,34.3,1.6,31.4,1.5,2.4,0.3
INDIA,5.9,30.1,1.3,44.3,0.0,12.1,3.3,1.5,1.6,4.8,23.9,0.5,53.0,0.0,11.3,2.1,2.9,1.6,1.4,19.2,1.0,49.6,0.1,19.3,1.1,7.7,0.6
PAKISTAN,12.3,21.3,1.3,28.3,2.5,16.5,8.0,9.0,1.0,6.4,20.3,0.6,31.6,1.8,16.4,6.4,15.1,1.5,4.3,24.2,0.6,29.2,3.5,26.4,5.3,5.3,1.2
SAUDI ARABIA,3.3,53.9,0.4,36.5,0.2,4.7,0.9,0.0,0.0,3.1,48.4,0.4,43.6,0.0,4.0,0.4,0.0,0.0,1.1,49.9,0.3,43.7,0.0,4.2,0.7,0.2,0.0
UNITED ARAB EMIRATES,11.6,51.2,4.7,20.9,0.0,7.0,4.7,0.0,0.0,4.3,14.9,0.0,61.7,0.0,10.6,0.0,0.0,8.5,1.6,32.2,0.8,50.2,3.1,5.5,2.0,0.0,4.7
OMAN,11.3,35.5,1.6,50.0,0.0,0.0,1.6,0.0,0.0,0.9,33.3,0.0,52.6,0.9,12.3,0.0,0.0,0.0,1.2,46.6,0.0,47.1,0.0,3.9,0.0,1.2,0.0
KUWAIT,0.0,75.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,3.7,14.8,0.0,81.5,0.0,0.0,0.0,0.0,0.0,0.5,25.2,0.5,53.3,3.3,5.7,7.1,0.0,4.3
IRAN,3.5,18.9,0.2,60.5,0.0,15.2,0.9,0.7,0.2,1.4,22.1,0.7,63.8,0.0,9.9,1.4,0.4,0.4,1.4,27.0,0.0,58.7,0.2,11.0,1.0,0.8,0.0
CANADA,27.6,38.7,1.1,7.5,0.0,24.2,0.9,0.0,0.0,28.9,33.4,0.2,4.1,0.2,32.6,0.3,0.0,0.3,12.5,36.0,0.4,18.4,2.7,28.9,1.0,0.0,0.2
USA,29.5,40.8,0.7,6.2,0.1,18.1,4.0,0.0,0.6,21.7,40.1,1.6,8.9,1.6,22.8,2.3,0.3,0.8,14.7,38.4,0.7,12.2,0.6,30.7,2.3,0.0,0.4
UNITED KINGDOM,23.0,42.7,0.4,9.6,0.2,22.1,2.0,0.0,0.1,15.5,46.3,0.3,13.7,0.0,20.1,2.6,0.1,1.3,10.8,38.5,0.8,19.4,1.0,28.0,1.3,0.0,0.2
IRELAND,25.3,44.8,1.1,10.3,2.3,16.1,0.0,0.0,0.0,17.2,48.4,0.0,11.9,0.0,21.1,0.0,0.0,1.4,11.9,43.8,1.5,15.4,0.5,26.5,0.5,0.0,0.0
SWEDEN,12.4,47.9,1.3,17.9,0.0,18.8,0.9,0.0,0.9,11.4,48.4,0.0,17.8,0.0,20.3,0.0,0.0,2.1,4.3,42.6,0.3,15.7,0.0,33.1,3.5,0.0,0.5
DENMARK,11.9,31.9,3.0,19.3,0.0,31.1,3.0,0.0,0.0,26.1,20.9,1.5,14.9,1.5,32.1,3.0,0.0,0.0,14.0,36.5,0.0,22.1,0.4,25.4,1.2,0.4,0.0
FINLAND,20.1,41.5,2.5,15.1,0.0,17.6,2.5,0.0,0.6,8.3,35.2,0.7,4.8,0.0,49.7,0.7,0.0,0.7,14.0,36.5,0.5,7.0,0.0,41.0,0.5,0.0,0.5
NORWAY,18.6,47.5,0.0,1.7,0.0,32.2,0.0,0.0,0.0,27.6,51.7,0.0,10.3,0.0,10.3,0.0,0.0,0.0,4.5,26.1,0.0,9.7,11.2,48.5,0.0,0.0,0.0
ITALY,15.0,40.9,0.8,7.9,0.0,30.7,4.3,0.0,0.4,21.3,34.1,0.7,8.9,0.0,27.1,7.1,0.0,0.7,7.8,32.5,0.3,15.7,0.2,40.6,2.5,0.5,0.0
SPAIN,14.2,41.6,0.4,5.3,0.0,35.8,2.7,0.0,0.0,10.8,34.0,0.3,12.1,0.0,41.3,1.0,0.0,0.3,9.4,42.4,0.2,15.2,0.2,31.8,0.9,0.0,0.0
FRANCE,19.4,40.0,0.9,14.0,0.2,22.4,1.4,0.1,1.6,18.7,36.7,1.2,16.9,0.0,25.2,0.2,0.0,1.1,8.3,33.4,1.2,23.3,1.1,31.7,0.8,0.0,0.2
BELGIUM,31.2,19.4,2.2,18.3,0.0,29.0,0.0,0.0,0.0,26.5,37.2,1.4,14.1,0.0,19.4,0.0,0.0,1.4,5.7,31.1,1.2,20.5,0.0,34.9,6.6,0.0,0.0
NETHERLANDS,17.5,34.6,1.9,19.6,1.3,23.2,1.9,0.0,0.0,12.5,40.4,0.5,22.7,0.5,22.7,0.8,0.0,0.0,10.2,39.2,0.3,16.4,0.5,32.5,0.7,0.0,0.2
GERMANY,19.3,42.1,0.5,7.7,0.3,27.4,2.7,0.0,0.0,16.8,38.6,0.6,6.5,0.0,36.1,1.3,0.0,0.1,9.4,42.9,1.6,11.1,0.1,32.2,1.1,1.5,0.1
SWITZERLAND,21.3,44.3,0.9,8.3,0.9,23.0,0.4,0.0,0.9,28.7,28.7,0.0,6.5,0.0,35.6,0.5,0.0,0.0,13.7,30.0,0.4,15.6,0.0,40.3,0.0,0.0,0.0
RUSSIA,28.6,26.5,1.6,15.3,0.0,26.5,1.6,0.0,0.0,14.4,29.6,2.7,23.4,0.0,29.2,0.7,0.0,0.0,8.0,31.0,1.2,24.7,0.0,32.5,1.7,0.0,0.9
AUSTRALIA,18.3,45.8,0.7,14.4,0.5,17.5,1.6,0.1,1.1,15.0,40.1,0.4,12.1,0.1,29.7,0.9,0.0,1.6,9.7,41.6,1.1,19.2,1.2,25.3,1.2,0.1,0.6
NEW ZEALAND,11.4,43.4,0.3,17.8,0.3,21.5,5.1,0.0,0.0,12.1,41.3,0.0,18.5,0.0,25.4,2.2,0.0,0.4,13.3,34.6,4.2,19.2,0.0,25.6,1.8,0.0,1.2
SOUTH AFRICA,39.7,37.0,0.0,11.0,0.0,8.2,4.1,0.0,0.0,24.2,42.4,0.0,27.3,0.0,6.1,0.0,0.0,0.0,3.3,30.3,2.0,36.8,1.3,20.4,3.9,0.0,2.0
CENTRAL ASIA,11.4,23.8,0.9,17.3,2.8,29.0,2.2,8.3,4.3,6.5,27.8,2.0,29.8,2.8,21.4,3.2,3.6,2.8,3.9,24.4,0.7,31.7,6.2,20.7,1.1,6.0,5.3
OTHER ASEAN,31.4,5.7,0.0,8.6,0.0,48.6,5.7,0.0,0.0,6.7,17.8,2.2,33.3,0.0,33.4,0.0,0.0,6.7,0.8,23.1,0.3,46.1,0.2,28.1,0.2,0.2,1.0
OTHER EAST ASIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.2,0.0,48.1,2.0,24.5,2.0,4.1,0.0,2.3,16.0,0.8,48.3,0.8,20.7,6.8,4.5,0.0
OTHERS SOUTH ASIA,2.7,15.3,2.7,39.6,7.2,13.5,8.1,10.8,0.0,6.0,27.7,0.6,43.4,0.0,18.7,3.6,0.0,0.0,5.2,30.4,1.0,43.3,0.9,15.6,2.0,0.7,0.9
OTHERS WEST ASIA,9.3,29.0,1.4,33.8,0.3,19.7,4.8,0.0,1.7,17.1,30.2,2.1,10.6,0.0,39.3,0.7,0.0,0.0,6.2,29.6,0.6,21.7,0.0,39.0,1.7,0.2,1.0
OTHERS AMERICAS,28.5,36.3,3.4,11.7,0.0,18.4,1.7,0.0,0.0,15.6,34.3,0.8,17.8,0.0,30.4,0.9,0.0,0.2,9.3,33.0,0.6,18.8,0.0,36.7,1.4,0.1,0.1
OTHERS EUROPE,23.2,39.9,0.6,11.7,0.0,21.7,2.7,0.0,0.2,8.5,31.2,1.1,36.0,1.1,18.3,1.8,1.1,0.8,5.3,32.0,0.8,33.0,3.1,20.2,3.2,1.9,0.5
OTHERS,16.7,27.5,1.3,24.5,0.9,21.6,2.9,2.6,2.0,18.3,57.1,9.7,7.5,1.6,1.9,3.9,0.0,0.0,18.3,57.1,9.7,7.5,1.6,1.9,3.9,0.0,0.0
